iter	Passed	Remaining
0	1	117
1	2	115
2	3	124
3	4	118
4	6	119
5	7	116
6	8	112
7	9	109
8	10	106
9	11	106
10	12	104
11	13	102
12	14	99
13	15	97
14	16	95
15	18	95
16	19	94
17	20	93
18	21	91
19	22	89
20	23	88
21	24	86
22	25	85
23	26	84
24	27	83
25	29	82
26	30	82
27	31	80
28	32	80
29	34	79
30	35	78
31	36	77
32	37	76
33	38	75
34	39	74
35	41	72
36	42	71
37	43	70
38	44	69
39	45	68
40	46	67
41	47	65
42	48	64
43	49	63
44	50	62
45	52	61
46	53	60
47	54	59
48	55	58
49	57	57
50	58	56
51	60	55
52	61	54
53	62	53
54	63	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	71	45
61	72	44
62	73	43
63	74	41
64	75	40
65	76	39
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	85	31
73	86	30
74	87	29
75	88	28
76	89	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	100	16
86	101	15
87	102	13
88	103	12
89	104	11
90	106	10
91	107	9
92	108	8
93	109	6
94	111	5
95	113	4
96	114	3
97	116	2
98	117	1
99	119	0
